DATE,VALUE
2015-09-09,30.4
2015-09-08,32.200001
2015-09-04,32.0
2015-09-03,31.860001
2015-09-02,32.009998
2015-09-01,31.49
2015-08-31,32.91
2015-08-28,33.32
2015-08-27,33.360001
2015-08-26,32.459999
2015-08-25,32.98
2015-08-24,29.02
2015-08-21,33.580002
2015-08-20,34.77
2015-08-19,35.669998
2015-08-18,35.779999
2015-08-17,36.240002
2015-08-14,35.82
2015-08-13,35.080002
2015-08-12,34.290001
2015-08-11,36.740002
2015-08-10,36.869999
2015-08-07,36.52
2015-08-06,37.34
2015-08-05,37.32
2015-08-04,36.610001
2015-08-03,36.669998
2015-07-31,37.560001
2015-07-30,37.5
2015-07-29,37.919998
2015-07-28,37.639999
2015-07-27,38.310001
2015-07-24,39.580002
2015-07-23,39.299999
2015-07-22,38.57
2015-07-21,39.610001
2015-07-20,39.98
2015-07-17,39.189999
2015-07-16,38.700001
2015-07-15,38.509998
2015-07-14,38.650002
2015-07-13,38.25
2015-07-10,38.349998
2015-07-09,38.23
2015-07-08,37.200001
2015-07-07,38.240002
2015-07-06,38.759998
2015-07-02,39.259998
2015-07-01,39.459999
2015-06-30,39.389999
2015-06-29,39.490002
2015-06-26,40.830002
2015-06-25,41.099998
2015-06-24,40.68
2015-06-23,40.740002
2015-06-22,40.66
2015-06-19,40.900002
2015-06-18,41.040001
2015-06-17,40.799999
2015-06-16,40.349998
2015-06-15,40.240002
2015-06-12,40.77
2015-06-11,42.09
2015-06-10,41.700001
2015-06-09,41.919998
2015-06-08,42.720001
2015-06-05,42.830002
2015-06-04,43.09
2015-06-03,43.299999
2015-06-02,43.18
2015-06-01,43.049999
2015-05-29,43.450001
2015-05-28,43.060001
2015-05-27,42.599998
2015-05-26,43.41
2015-05-22,43.580002
2015-05-21,43.060001
2015-05-20,42.279999
2015-05-19,44.380001
2015-05-18,44.52
2015-05-15,45.0
2015-05-14,44.529999
2015-05-13,44.029999
2015-05-12,44.299999
2015-05-11,43.82
2015-05-08,44.34
2015-05-07,44.93
2015-05-06,41.310001
2015-05-05,41.860001
2015-05-04,42.5
2015-05-01,42.549999
2015-04-30,43.119999
2015-04-29,43.880001
2015-04-28,44.34
2015-04-27,44.650002
2015-04-24,43.73
2015-04-23,43.919998
2015-04-22,44.580002
2015-04-21,45.150002
2015-04-20,44.73
2015-04-17,45.299999
2015-04-16,45.82
2015-04-15,45.459999
2015-04-14,44.82
2015-04-13,45.25
2015-04-10,45.790001
2015-04-09,45.700001
2015-04-08,43.860001
2015-04-07,43.790001
2015-04-06,43.82
2015-04-02,44.240002
2015-04-01,44.450001
2015-03-31,44.82
2015-03-30,45.360001
2015-03-27,45.200001
2015-03-26,43.779999
2015-03-25,44.59
2015-03-24,44.639999
2015-03-23,45.25
2015-03-20,45.369999
2015-03-19,44.900002
2015-03-18,43.580002
2015-03-17,43.540001
2015-03-16,42.93
2015-03-13,42.84
2015-03-12,42.700001
2015-03-11,42.77
2015-03-10,42.57
2015-03-09,43.599998
2015-03-06,43.98
2015-03-05,44.18
2015-03-04,42.080002
2015-03-03,43.700001
2015-03-02,44.060001
2015-02-27,44.380001
2015-02-26,44.599998
2015-02-25,43.209999
2015-02-24,43.450001
2015-02-23,43.990002
2015-02-20,44.299999
2015-02-19,43.650002
2015-02-18,43.560001
2015-02-17,44.369999
2015-02-13,44.119999
2015-02-12,43.07
2015-02-11,43.18
2015-02-10,42.900002
2015-02-09,42.610001
2015-02-06,43.57
2015-02-05,44.080002
2015-02-04,44.799999
2015-02-03,45.099998
2015-02-02,44.43
2015-01-30,43.75
2015-01-29,43.560001
2015-01-28,49.799999
2015-01-27,49.139999
2015-01-26,49.57
2015-01-23,48.740002
2015-01-22,48.43
2015-01-21,47.599998
2015-01-20,46.790001
2015-01-16,46.060001
2015-01-15,47.540001
2015-01-14,47.700001
2015-01-13,49.150002
2015-01-12,49.919998
2015-01-09,50.279999
2015-01-08,48.990002
2015-01-07,49.619999
2015-01-06,49.200001
2015-01-05,49.709999
2015-01-02,50.66
2014-12-31,51.540001
2014-12-30,50.349998
2014-12-29,50.669998
2014-12-26,50.650002
2014-12-24,50.189999
2014-12-23,51.459999
2014-12-22,50.990002
2014-12-19,51.060001
2014-12-18,50.93
2014-12-17,49.02
2014-12-16,49.5
2014-12-15,50.419998
2014-12-12,49.540001
2014-12-11,49.540001
2014-12-10,50.330002
2014-12-09,48.75
2014-12-08,50.52
2014-12-05,51.029999
2014-12-04,50.189999
2014-12-03,50.709999
2014-12-02,50.27
2014-12-01,51.43
2014-11-28,51.869999
2014-11-26,51.560001
2014-11-25,51.98
2014-11-24,51.25
2014-11-21,51.990002
2014-11-20,50.599998
2014-11-19,51.240002
2014-11-18,52.279999
2014-11-17,51.830002
2014-11-14,50.52
2014-11-13,50.959999
2014-11-12,49.330002
2014-11-11,48.57
2014-11-10,48.799999
2014-11-07,47.900002
2014-11-06,47.369999
2014-11-05,47.619999
2014-11-04,45.990002
2014-11-03,46.049999
2014-10-31,46.16
2014-10-30,45.209999
2014-10-29,45.939999
2014-10-28,45.009998
2014-10-27,43.310001
2014-10-24,42.529999
2014-10-23,42.400002
2014-10-22,42.419998
2014-10-21,39.650002
2014-10-20,38.470001
2014-10-17,38.740002
2014-10-16,36.950001
2014-10-15,37.27
2014-10-14,38.66
2014-10-13,39.52
2014-10-10,40.73
2014-10-09,40.900002
2014-10-08,41.0
2014-10-07,41.060001
2014-10-06,41.200001
2014-10-03,40.790001
2014-10-02,40.240002
2014-10-01,40.66
2014-09-30,40.580002
2014-09-29,40.41
2014-09-26,39.009998
2014-09-25,39.560001
2014-09-24,39.259998
2014-09-23,38.150002
2014-09-22,39.77
2014-09-19,42.439999
2014-09-18,43.049999
2014-09-17,42.369999
2014-09-16,42.610001
2014-09-15,43.98
2014-09-12,41.73
2014-09-11,41.02
2014-09-10,41.049999
2014-09-09,42.009998
2014-09-08,40.34
2014-09-05,39.049999
2014-09-04,39.139999
2014-09-03,39.490002
2014-09-02,38.900002
2014-08-29,38.57
2014-08-28,38.09
2014-08-27,38.299999
2014-08-26,37.759998
2014-08-25,38.139999
2014-08-22,37.700001
2014-08-21,37.650002
2014-08-20,37.610001
2014-08-19,37.560001
2014-08-18,36.77
2014-08-15,36.200001
2014-08-14,36.32
2014-08-13,35.959999
2014-08-12,35.799999
2014-08-11,36.099998
2014-08-08,35.73
2014-08-07,36.0
2014-08-06,35.580002
2014-08-05,36.32
2014-08-04,35.709999
2014-08-01,35.689999
2014-07-31,36.259998
2014-07-30,35.939999
2014-07-29,35.91
2014-07-28,36.23
2014-07-25,36.0
2014-07-24,35.09
2014-07-23,33.779999
2014-07-22,33.48
2014-07-21,33.349998
2014-07-18,33.18
2014-07-17,33.82
2014-07-16,34.419998
2014-07-15,35.720001
2014-07-14,35.799999
2014-07-11,34.950001
2014-07-10,34.330002
2014-07-09,34.68
2014-07-08,35.639999
2014-07-07,36.150002
2014-07-03,36.07
2014-07-02,35.619999
2014-07-01,35.5
2014-06-30,34.93
2014-06-27,33.849998
2014-06-26,33.25
2014-06-25,33.380001
2014-06-24,33.790001
2014-06-23,34.130001
2014-06-20,34.810001
2014-06-19,35.139999
2014-06-18,34.669998
2014-06-17,34.799999
2014-06-16,35.0
2014-06-13,36.880001
2014-06-12,36.5
2014-06-11,36.25
2014-06-10,35.869999
2014-06-09,35.860001
2014-06-06,35.060001
2014-06-05,34.790001
2014-06-04,34.48
2014-06-03,34.799999
2014-06-02,34.689999
2014-05-30,34.919998
2014-05-29,34.900002
2014-05-28,35.150002
2014-05-27,35.0
2014-05-23,34.849998
2014-05-22,34.599998
2014-05-21,34.0
2014-05-20,33.990002
2014-05-19,33.41
2014-05-16,33.66
2014-05-15,34.18
2014-05-14,34.48
2014-05-13,34.43
2014-05-12,33.990002
2014-05-09,34.009998
2014-05-08,33.880001
2014-05-07,35.990002
2014-05-06,36.939999
2014-05-05,36.68
2014-05-02,36.59
2014-05-01,36.259998
2014-04-30,35.889999
2014-04-29,34.369999
2014-04-28,34.669998
2014-04-25,35.029999
2014-04-24,35.82
2014-04-23,36.080002
2014-04-22,36.709999
2014-04-21,36.599998
2014-04-17,36.290001
2014-04-16,36.98
2014-04-15,33.93
2014-04-14,33.549999
2014-04-11,32.639999
2014-04-10,34.880001
2014-04-09,34.189999
2014-04-08,33.099998
